,bid,size
2018-10-01 00:31:17.057000+00:00,26599.0,25.0
2018-10-01 00:31:18.811000+00:00,26600.0,15.0
2018-10-01 00:31:20.563000+00:00,26599.0,30.0
2018-10-01 00:31:21.264000+00:00,26600.0,15.0
2018-10-01 00:31:24.418000+00:00,26599.0,20.0
2018-10-01 00:31:42.997000+00:00,26598.0,20.0
2018-10-01 00:31:51.057000+00:00,26599.0,15.0
2018-10-01 00:32:02.982000+00:00,26600.0,15.0
2018-10-01 00:32:03.332000+00:00,26599.0,20.0
2018-10-01 00:32:06.837000+00:00,26600.0,15.0
2018-10-01 00:32:07.538000+00:00,26599.0,31.0
2018-10-01 00:32:07.889000+00:00,26600.0,30.0
2018-10-01 00:32:10.695000+00:00,26599.0,30.0
2018-10-01 00:32:11.746000+00:00,26598.0,30.0
2018-10-01 00:32:17.008000+00:00,26599.0,15.0
2018-10-01 00:32:20.864000+00:00,26598.0,31.0
2018-10-01 00:32:26.122000+00:00,26599.0,15.0
2018-10-01 00:32:29.626000+00:00,26598.0,31.0
2018-10-01 00:32:31.027000+00:00,26599.0,15.0
2018-10-01 00:32:32.079000+00:00,26598.0,31.0
2018-10-01 00:32:33.131000+00:00,26599.0,25.0
2018-10-01 00:32:43.296000+00:00,26600.0,15.0
2018-10-01 00:32:46.801000+00:00,26599.0,30.0
2018-10-01 00:32:49.955000+00:00,26600.0,15.0
2018-10-01 00:33:12.389000+00:00,26599.0,25.0
2018-10-01 00:33:21.152000+00:00,26600.0,15.0
2018-10-01 00:33:21.502000+00:00,26599.0,30.0
2018-10-01 00:33:25.356000+00:00,26600.0,15.0
2018-10-01 00:33:25.707000+00:00,26599.0,30.0
2018-10-01 00:33:29.913000+00:00,26600.0,15.0
2018-10-01 00:33:35.518000+00:00,26599.0,31.0
2018-10-01 00:33:37.622000+00:00,26600.0,15.0
2018-10-01 00:33:40.075000+00:00,26599.0,31.0
2018-10-01 00:34:06.010000+00:00,26600.0,15.0
2018-10-01 00:34:10.566000+00:00,26599.0,31.0
2018-10-01 00:34:13.719000+00:00,26600.0,15.0
2018-10-01 00:34:17.573000+00:00,26599.0,31.0
2018-10-01 00:34:21.079000+00:00,26600.0,31.0
2018-10-01 00:34:35.447000+00:00,26599.0,30.0
2018-10-01 00:35:03.127000+00:00,26600.0,15.0
2018-10-01 00:35:03.829000+00:00,26599.0,31.0
2018-10-01 00:35:05.936000+00:00,26598.0,25.0
2018-10-01 00:35:09.089000+00:00,26599.0,15.0
2018-10-01 00:35:16.452000+00:00,26600.0,15.0
2018-10-01 00:35:30.832000+00:00,26599.0,20.0
2018-10-01 00:35:32.939000+00:00,26600.0,15.0
2018-10-01 00:36:07.631000+00:00,26601.0,15.0
