,ask,size
2018-10-01 00:05:02.778000+00:00,26590.0,10.0
2018-10-01 00:05:05.933000+00:00,26591.0,10.0
2018-10-01 00:05:06.636000+00:00,26590.0,10.0
2018-10-01 00:05:09.791000+00:00,26589.0,10.0
2018-10-01 00:05:13.650000+00:00,26588.0,10.0
2018-10-01 00:05:14.702000+00:00,26587.0,10.0
2018-10-01 00:05:16.454000+00:00,26588.0,10.0
2018-10-01 00:05:19.261000+00:00,26589.0,10.0
2018-10-01 00:05:22.422000+00:00,26588.0,10.0
2018-10-01 00:05:22.772000+00:00,26587.0,10.0
2018-10-01 00:05:24.175000+00:00,26586.0,10.0
2018-10-01 00:05:24.526000+00:00,26587.0,10.0
2018-10-01 00:05:25.928000+00:00,26586.0,10.0
2018-10-01 00:05:28.737000+00:00,26587.0,10.0
2018-10-01 00:05:32.595000+00:00,26588.0,10.0
2018-10-01 00:05:38.911000+00:00,26587.0,10.0
2018-10-01 00:05:42.421000+00:00,26588.0,10.0
2018-10-01 00:05:46.286000+00:00,26589.0,10.0
2018-10-01 00:05:47.340000+00:00,26588.0,10.0
2018-10-01 00:05:56.116000+00:00,26590.0,22.0
2018-10-01 00:05:56.467000+00:00,26589.0,10.0
2018-10-01 00:05:56.819000+00:00,26588.0,10.0
2018-10-01 00:05:57.872000+00:00,26589.0,10.0
2018-10-01 00:06:00.329000+00:00,26590.0,10.0
2018-10-01 00:06:01.031000+00:00,26589.0,10.0
2018-10-01 00:06:01.732000+00:00,26590.0,10.0
2018-10-01 00:06:02.433000+00:00,26589.0,5.0
2018-10-01 00:06:09.804000+00:00,26590.0,10.0
2018-10-01 00:06:13.670000+00:00,26589.0,5.0
2018-10-01 00:06:19.639000+00:00,26590.0,12.0
2018-10-01 00:06:26.661000+00:00,26591.0,12.0
2018-10-01 00:06:36.840000+00:00,26592.0,12.0
2018-10-01 00:06:37.192000+00:00,26590.0,12.0
2018-10-01 00:06:37.895000+00:00,26591.0,12.0
2018-10-01 00:06:58.589000+00:00,26590.0,12.0
2018-10-01 00:07:16.846000+00:00,26591.0,12.0
2018-10-01 00:07:17.198000+00:00,26592.0,12.0
2018-10-01 00:07:17.549000+00:00,26593.0,12.0
2018-10-01 00:07:19.657000+00:00,26594.0,12.0
2018-10-01 00:07:21.060000+00:00,26595.0,12.0
2018-10-01 00:07:27.028000+00:00,26594.0,12.0
2018-10-01 00:07:31.240000+00:00,26595.0,12.0
2018-10-01 00:07:31.591000+00:00,26594.0,10.0
2018-10-01 00:07:32.994000+00:00,26595.0,10.0
2018-10-01 00:07:40.009000+00:00,26596.0,12.0
2018-10-01 00:07:43.515000+00:00,26595.0,12.0
2018-10-01 00:07:47.374000+00:00,26594.0,12.0
2018-10-01 00:07:49.829000+00:00,26595.0,12.0
2018-10-01 00:07:50.179000+00:00,26594.0,12.0
2018-10-01 00:07:51.232000+00:00,26596.0,12.0
2018-10-01 00:07:51.933000+00:00,26595.0,12.0
2018-10-01 00:07:57.546000+00:00,26596.0,12.0
2018-10-01 00:07:59.302000+00:00,26597.0,12.0
2018-10-01 00:08:01.759000+00:00,26598.0,12.0
2018-10-01 00:08:10.180000+00:00,26597.0,12.0
